iter	F1	Logloss
0	0.3283462356	0.6735631492
1	0.3836789397	0.6565184076
2	0.3821983674	0.6415179556
3	0.3687708918	0.6280845963
4	0.366703902	0.6159607157
5	0.3695543699	0.6054767824
6	0.3733536935	0.596463322
7	0.3735794371	0.5875416652
8	0.3777346574	0.5795554456
9	0.374138723	0.5727588057
10	0.3740104784	0.5662782094
11	0.3690407257	0.5627503324
12	0.370087841	0.5573761977
13	0.362382103	0.5542483683
14	0.3641804967	0.5498297739
15	0.3635020605	0.5459025788
16	0.362114606	0.5424329491
17	0.3623132005	0.539361815
18	0.3623329567	0.5363150099
19	0.3630417007	0.5336746244
20	0.364060314	0.5313482473
21	0.365653979	0.5290747402
22	0.3669625208	0.5267753475
23	0.3653450351	0.5249175971
24	0.3650639406	0.5232829108
25	0.3613884555	0.5219277458
26	0.3609744671	0.5205052368
27	0.3613336982	0.5191145053
28	0.3641251412	0.517571148
29	0.3665902289	0.5164508725
30	0.3656960448	0.515236476
31	0.3655838592	0.5143306075
32	0.3633805019	0.5136222282
33	0.3633234236	0.5127682373
34	0.365387615	0.5118978002
35	0.3673103878	0.5109233149
36	0.3699448886	0.5100471756
37	0.3694089302	0.5093677486
38	0.3682448217	0.5087650242
39	0.3700135949	0.507913326
40	0.3699125364	0.5072217459
41	0.3696092169	0.5067107669
42	0.3702379101	0.5059476027
43	0.3700622084	0.5054116618
44	0.3695169891	0.5050200411
45	0.3691445037	0.5045910046
46	0.3696033013	0.5041685396
47	0.3702752151	0.5035971014
48	0.370211772	0.5031745841
49	0.3716373814	0.5027334597
50	0.372721974	0.5022875672
51	0.3747188833	0.5018424411
52	0.375958485	0.501396346
53	0.3776953397	0.5008138302
54	0.3793289626	0.5005562457
55	0.3797848965	0.5002742934
56	0.3799683874	0.5000555824
57	0.3808203351	0.4996432368
58	0.3815566836	0.4994364648
59	0.3831079004	0.4991216557
60	0.3843230586	0.498709988
61	0.3855828221	0.4984993878
62	0.3874717962	0.4980843575
63	0.3879821108	0.4977966389
64	0.3891264508	0.4973164765
65	0.3893426979	0.4971786012
66	0.3889567741	0.4970658513
67	0.3892514981	0.4968097951
68	0.3902960024	0.4965945458
69	0.3908238701	0.4963465917
70	0.3915593814	0.4961588741
71	0.3921553694	0.4959200461
72	0.3934139478	0.495674005
73	0.3941661286	0.4952389994
74	0.3945490434	0.4948759805
75	0.3953400121	0.4946300407
76	0.3956152329	0.4943723168
77	0.3959968156	0.4941172883
78	0.3980174795	0.4937113009
79	0.3985635986	0.4935284032
80	0.4004979817	0.4932269853
81	0.4007242004	0.4931017395
82	0.4010259505	0.4929453879
83	0.4015377078	0.4926935869
84	0.4022451593	0.4925588317
85	0.4022901914	0.4924103324
86	0.4027992024	0.492121416
87	0.4032197397	0.4919208362
88	0.4032791817	0.4917969365
89	0.4033246831	0.4916753047
90	0.403265859	0.4915103147
91	0.404418395	0.4912649159
92	0.4045821596	0.4909840109
93	0.4048351978	0.4908476435
94	0.4048503961	0.4908342466
95	0.4055959793	0.4905798976
96	0.4059699254	0.4904113643
97	0.406071964	0.4902224517
98	0.4069384085	0.4900178517
99	0.4071008576	0.4898650935
100	0.4076194753	0.4897631934
101	0.4082411008	0.4896002304
