iter	Passed	Remaining
0	34	34648
1	63	31570
2	93	31116
3	118	29434
4	147	29369
5	173	28771
6	200	28456
7	225	28001
8	255	28149
9	279	27651
10	305	27473
11	320	26410
12	345	26198
13	359	25341
14	430	28262
15	463	28531
16	495	28650
17	522	28513
18	549	28356
19	571	28011
20	610	28476
21	634	28223
22	661	28110
23	686	27899
24	711	27736
25	736	27587
26	761	27455
27	789	27397
28	815	27295
29	840	27162
30	862	26952
31	889	26914
32	913	26757
33	939	26705
34	968	26706
35	991	26563
36	1015	26432
37	1037	26273
38	1059	26109
39	1084	26028
40	1107	25896
41	1131	25817
42	1161	25857
43	1187	25811
44	1213	25744
45	1236	25647
46	1260	25559
47	1284	25475
48	1310	25430
49	1335	25378
50	1360	25315
51	1387	25292
52	1411	25214
53	1436	25157
54	1460	25095
55	1486	25059
56	1513	25034
57	1537	24973
58	1563	24936
59	1586	24862
60	1608	24760
61	1633	24719
62	1660	24699
63	1683	24620
64	1707	24562
65	1726	24429
66	1748	24349
67	1773	24312
68	1798	24272
69	1825	24253
70	1848	24180
71	1871	24127
72	1898	24113
73	1924	24079
74	1950	24058
75	1973	23996
76	1996	23932
77	2020	23877
78	2044	23838
79	2072	23833
80	2098	23805
81	2122	23761
82	2144	23693
83	2171	23684
84	2192	23596
85	2218	23579
86	2250	23619
87	2278	23616
88	2303	23573
89	2324	23500
90	2351	23484
91	2377	23467
92	2399	23399
93	2421	23341
94	2435	23199
95	2460	23173
96	2483	23115
97	2507	23079
98	2535	23074
99	2561	23056
100	2586	23026
101	2611	22988
102	2633	22936
103	2657	22896
104	2684	22878
105	2709	22850
106	2733	22810
107	2758	22782
108	2783	22751
109	2805	22702
110	2830	22670
111	2853	22627
112	2879	22604
113	2902	22559
114	2928	22533
115	2951	22491
116	2971	22424
117	3000	22429
118	3026	22408
119	3053	22390
120	3077	22355
121	3101	22324
122	3127	22296
123	3150	22259
124	3174	22224
125	3200	22198
126	3227	22185
127	3251	22148
128	3274	22109
129	3296	22060
130	3322	22041
131	3347	22013
132	3360	21904
133	3383	21864
134	3405	21820
135	3429	21787
136	3452	21748
137	3466	21656
138	3489	21613
139	3498	21489
140	3523	21463
141	3548	21441
142	3571	21404
143	3598	21390
144	3624	21374
145	3635	21263
146	3657	21223
147	3683	21206
148	3716	21224
149	3754	21274
150	3796	21343
151	3815	21287
152	3844	21285
153	3866	21240
154	3889	21206
155	3919	21203
156	3944	21180
157	3970	21160
158	3996	21138
159	4022	21119
160	4046	21089
161	4070	21056
162	4093	21018
163	4115	20977
164	4140	20951
165	4161	20909
166	4185	20878
167	4206	20831
168	4231	20808
169	4256	20779
170	4270	20701
171	4286	20634
172	4310	20605
173	4330	20559
174	4356	20535
175	4377	20493
176	4391	20418
177	4416	20396
178	4444	20383
179	4467	20352
180	4490	20319
181	4514	20289
182	4537	20258
183	4559	20221
184	4583	20191
185	4605	20153
186	4627	20117
187	4651	20090
188	4678	20075
189	4701	20043
190	4725	20015
191	4747	19980
192	4772	19956
193	4787	19889
194	4810	19857
195	4831	19819
196	4859	19808
197	4884	19784
198	4915	19786
199	4939	19757
200	4965	19737
201	4979	19671
202	4999	19627
203	5025	19607
204	5047	19575
205	5071	19548
206	5096	19522
207	5120	19497
208	5144	19468
209	5165	19432
210	5199	19441
211	5226	19427
212	5249	19395
213	5272	19364
214	5295	19334
215	5322	19318
216	5344	19286
217	5370	19263
218	5394	19237
219	5417	19206
220	5444	19192
221	5469	19169
222	5500	19165
223	5524	19138
224	5550	19119
225	5577	19102
226	5600	19072
227	5625	19047
228	5650	19025
229	5674	18997
230	5686	18930
231	5697	18862
232	5723	18840
233	5753	18834
234	5778	18812
235	5798	18772
236	5821	18742
237	5849	18729
238	5875	18707
239	5894	18667
240	5923	18654
241	5949	18635
242	5977	18622
243	6001	18595
244	6027	18574
245	6050	18546
246	6075	18520
247	6100	18498
248	6131	18494
249	6152	18457
250	6174	18424
251	6201	18407
252	6226	18385
253	6254	18369
254	6279	18347
255	6305	18326
256	6334	18313
257	6359	18290
258	6375	18240
259	6418	18267
260	6434	18217
261	6456	18185
262	6479	18157
263	6507	18143
264	6532	18118
265	6558	18098
266	6583	18073
267	6607	18046
268	6635	18031
269	6658	18003
270	6683	17978
271	6706	17948
272	6737	17942
273	6772	17945
274	6815	17968
275	6854	17979
276	6887	17977
277	6916	17962
278	6983	18046
279	7009	18024
280	7038	18008
281	7063	17984
282	7089	17962
283	7114	17935
284	7141	17916
285	7168	17894
286	7195	17876
287	7220	17850
288	7247	17830
289	7270	17801
290	7296	17778
291	7320	17748
292	7346	17727
293	7369	17695
294	7393	17668
295	7421	17651
296	7449	17632
297	7482	17626
298	7502	17590
299	7527	17563
300	7554	17542
301	7587	17536
302	7615	17517
303	7641	17495
304	7664	17465
305	7688	17438
306	7715	17417
307	7741	17394
308	7764	17364
309	7788	17336
310	7806	17295
311	7833	17272
312	7856	17244
313	7879	17214
314	7905	17190
315	7931	17168
316	7956	17143
317	7982	17118
318	8006	17092
319	8030	17065
320	8057	17043
321	8082	17017
322	8108	16995
323	8132	16967
324	8160	16949
325	8192	16937
326	8226	16931
327	8248	16900
328	8274	16875
329	8299	16849
330	8325	16827
331	8348	16796
332	8497	17019
333	8544	17038
